index,molecule,actual,average_prediction,standard_deviation
367,NaBe,2.21,2.2106502949696356,0.002278540202469888
368,NaBr,9.1183,9.121636487933598,0.007199458929958801
369,NaBr,9.1183,9.116539830723374,0.0069158111309471
370,NaCa,1.15,1.149268446305903,0.001597914717594412
371,NaCa,1.15,1.150429205998215,0.0016782151885342466
372,NaCl,9.002,9.001037841878905,0.010741024146900816
373,NaCl,9.002,9.002049799991195,0.010561001691198835
374,NaCs,4.52,4.5224404063945824,0.0035033547851946044
375,NaCs,4.52,4.5199513579190596,0.0032468697212601097
376,NaF,8.1558,8.103960427675512,0.028023369161032742
377,NaF,8.1558,8.100241695763017,0.0286525957891696
378,NaFr,3.51,3.512683844455097,0.003287714955236589
379,NaFr,3.51,3.509309820091534,0.003345737028286807
380,NaH,6.4,6.396841260989234,0.009292798918415446
381,NaH,6.4,6.404486784166715,0.009602238999784773
382,NaI,9.2357,9.23544766534821,0.00517180239236293
383,NaI,9.2357,9.238036802203435,0.005706573439072093
384,NaK,2.693,2.694295770924593,0.003161667067128939
385,NaK,2.693,2.6924605685847776,0.0029841425698267374
386,NaLi,0.463,0.4635336804079122,0.0011254347610696628
387,NaLi,0.463,0.4635336804079122,0.0011254347610696628
388,NaMg,0.73,0.7305572833101084,0.0027053899548586217
389,NaMg,0.73,0.7294052475271846,0.0026782167466058086
390,NaRa,0.35,0.3501437916503845,0.003338564569929407
391,NaRa,0.35,0.34654410545569303,0.0036850481263973564
392,NaRb,3.1,3.097803952687858,0.0028978991516617966
393,NaRb,3.1,3.098088500870785,0.0027150494763772287
394,NaSr,0.57,0.5698734894282825,0.0017588956208730343
395,NaSr,0.57,0.5692121782110365,0.0018042248187061275
396,NbN,3.26,3.265734729368361,0.008717306772038184
397,NbN,3.26,3.2587051896382815,0.008607787355600215
398,NH,1.39,1.3865411827629237,0.005132590080904443
399,NH,1.39,1.3921515778565368,0.004048551835472239
400,NiH,2.4,2.399680116304147,0.006754222766975146
401,NiH,2.4,2.4007730888719845,0.006929076038058748
402,NO,0.157,0.15867201566836356,0.006178935750508973
403,NO,0.157,0.1585509039659609,0.006262410865579414
404,NS,1.81,1.8058943675814425,0.003736908287651772
405,NS,1.81,1.8123509318333844,0.003156863895140735
406,OH,1.667,1.6688097103654713,0.004907480673402814
407,OH,1.667,1.665530092314709,0.004901877418971729
408,PbO,4.64,4.636798804154981,0.0033402747632644237
409,PbO,4.64,4.640477835341677,0.0029279778897202276
410,PbS,3.59,3.5887999941699618,0.0027804247033785803
411,PbS,3.59,3.5905451192602844,0.0025489325925501178
412,PbSe,3.28,3.280864822097463,0.0027064550360603222
413,PbSe,3.28,3.2803016760531416,0.0023757047031945392
414,PbTe,2.73,2.7291312340206715,0.0026491453816406083
415,PbTe,2.73,2.731357929846233,0.0024478180307649275
416,PN,2.747,2.745740915280959,0.004042544954799541
417,PN,2.747,2.7478144651305394,0.004641750327521603
418,PO,1.88,1.883042315049591,0.004970862495232794
419,PO,1.88,1.8784851367729125,0.0043205811985392905
420,PtC,0.99,0.990886772068729,0.004026748276924973
421,PtC,0.99,0.9911102785548578,0.0041223412380376025
422,PtF,3.42,3.420455002157853,0.01304013721732145
423,PtF,3.42,3.416550912848136,0.011291088673008372
424,PtN,1.977,1.97916636939684,0.005622136893478237
425,PtN,1.977,1.9747773803715158,0.005541897565508135
426,PtO,2.77,2.769661574925724,0.005312247553264671
427,PtO,2.77,2.765856936130811,0.00576156046363599
428,PtS,1.78,1.783309686242521,0.007140025161394585
429,PtS,1.78,1.7770199258336603,0.007272260916650552
430,RbBa,1.76,1.7606032700154193,0.0026291401230551428
431,RbBa,1.76,1.761128036836366,0.0027583265466559785
432,RbBe,1.74,1.7418726152592856,0.0024292675509570215
433,RbBe,1.74,1.7405316611957993,0.002357698118100665
434,RbBr,10.86,10.856639922412722,0.010465083646504655
435,RbBr,10.86,10.856743796341124,0.010964835490320728
436,RbCa,1.89,1.8914420108149694,0.0019557349715025795
437,RbCa,1.89,1.8924364387026238,0.0020167133750402474
438,RbCl,10.51,10.524548597345616,0.030689701180946483
